vote_average,vote_count,revenue,runtime,adult,budget,release_year,release_month,release_day_of_week,release_day_of_year,title_length,profit,vote_total,genre_combo_score,company_combo_score,title_length*sqrt(vote_count),sqrt(vote_count)*log(genre_combo_score),sqrt(company_combo_score)*sqrt(runtime),sqrt(company_combo_score)*sqrt(vote_count),adult*company_combo_score**3,vote_count/genre_combo_score,sqrt(runtime)*sqrt(vote_count),vote_count/runtime,release_day_of_week**3*runtime,genre_combo_score*vote_total**2,company_combo_score**3*vote_count,company_combo_score*title_length**3,sqrt(vote_count)/release_day_of_year,company_combo_score**3*vote_count**2,sqrt(release_month)*sqrt(vote_average),company_combo_score**2/genre_combo_score,vote_total**2/release_month,sqrt(revenue)/release_day_of_year,sqrt(vote_count)*log(release_month),sqrt(company_combo_score)*runtime**3,sqrt(vote_average)/genre_combo_score,release_day_of_week*sqrt(vote_total),company_combo_score*release_day_of_week,sqrt(release_day_of_week)*sqrt(vote_average),sqrt(revenue)*sqrt(vote_total),profit*exp(release_day_of_week),release_day_of_year**3*vote_count,company_combo_score**3*release_day_of_week**3,popularity
7.0,1.0,0.0,6.0,0.0,0.0,1948.0,11.0,0.0,306.0,19.0,0.0,7.0,3.0,0.0,19.0,1.0986122886681098,0.0,0.0,0.0,0.3333333333333333,2.449489742783178,0.16666666666666666,0.0,147.0,0.0,0.0,0.0032679738562091504,0.0,8.774964387392123,0.0,4.454545454545454,0.0,2.3978952727983707,0.0,0.8819171036881969,0.0,0.0,0.0,0.0,0.0,28652616.0,0.0,0.6
6.0,3.0,0.0,7.0,0.0,0.0,1978.0,12.0,5.0,357.0,9.0,0.0,18.0,38.0,0.0,15.588457268119894,6.300484045555457,0.0,0.0,0.0,0.07894736842105263,4.58257569495584,0.42857142857142855,875.0,12312.0,0.0,0.0,0.004851682934366603,0.0,8.48528137423857,0.0,27.0,0.0,4.303984569498579,0.0,0.064460256389031,21.213203435596423,0.0,5.477225575051661,0.0,0.0,136497879.0,0.0,0.739
6.37,27.0,0.0,5.0,0.0,0.0,1982.0,7.0,6.0,192.0,7.0,0.0,171.99,29.0,0.0,36.373066958946424,17.49698238495416,0.0,0.0,0.0,0.9310344827586207,11.618950038622252,5.4,1080.0,857836.2429000001,0.0,0.0,0.02706329386826371,0.0,6.677574409918621,0.0,4225.7943000000005,0.0,10.11124573538319,0.0,0.08703054802844112,78.68697477981982,0.0,6.182232606429492,0.0,0.0,191102976.0,0.0,1.291
0.0,0.0,0.0,3.0,0.0,0.0,2018.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
9.0,1.0,0.0,3.0,0.0,0.0,2020.0,5.0,2.0,134.0,34.0,0.0,9.0,3.0,0.0,34.0,1.0986122886681098,0.0,0.0,0.0,0.3333333333333333,1.7320508075688772,0.3333333333333333,24.0,243.0,0.0,0.0,0.007462686567164179,0.0,6.708203932499369,0.0,16.2,0.0,1.6094379124341003,0.0,1.0,6.0,0.0,4.242640687119286,0.0,0.0,2406104.0,0.0,0.6
4.0,1.0,0.0,11.0,0.0,0.0,1958.0,3.0,5.0,60.0,25.0,0.0,4.0,3.0,0.0,25.0,1.0986122886681098,0.0,0.0,0.0,0.3333333333333333,3.3166247903554,0.09090909090909091,1375.0,48.0,0.0,0.0,0.016666666666666666,0.0,3.4641016151377544,0.0,5.333333333333333,0.0,1.0986122886681098,0.0,0.6666666666666666,10.0,0.0,4.47213595499958,0.0,0.0,216000.0,0.0,0.6
0.0,0.0,0.0,6.0,0.0,0.0,1959.0,4.0,2.0,91.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
5.75,46.0,0.0,73.0,0.0,0.0,2015.0,6.0,1.0,160.0,24.0,0.0,264.5,27.0,3.0,162.77591959500643,22.353453195790777,14.79864858694874,11.74734012447073,0.0,1.7037037037037037,57.94825277780167,0.6301369863013698,73.0,1888926.75,1242.0,41472.0,0.042389562394532926,57132.0,5.873670062235364,0.3333333333333333,11660.041666666666,0.0,12.152303970694053,673797.2090080219,0.08881169487616146,16.263455967290593,3.0,2.3979157616563596,0.0,0.0,188416000.0,27.0,7.147
0.0,0.0,0.0,9.0,0.0,0.0,1962.0,1.0,0.0,1.0,4.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634
6.5,6.0,0.0,12.0,0.0,0.0,1986.0,1.0,2.0,1.0,17.0,0.0,39.0,14.0,0.0,41.641325627314025,6.46434385950934,0.0,0.0,0.0,0.42857142857142855,8.48528137423857,0.5,96.0,21294.0,0.0,0.0,2.449489742783178,0.0,2.5495097567963922,0.0,1521.0,0.0,0.0,0.0,0.18210783977117087,12.489995996796797,0.0,3.605551275463989,0.0,0.0,6.0,0.0,0.6
